,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
1518121,2013000023851,ASSISTANCE RENDERED,911,3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,01/21/2013 03:01:53 PM,01/21/2013 05:02:38 PM,EAST,CHARLIE,C3
1669712,2022000220359,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,08/20/2022 07:21:33 AM,08/20/2022 07:37:04 AM,SOUTH,ROBERT,R3
3994120,2014000335669,ASSISTANCE RENDERED,911,2,DUI - DRIVING UNDER INFLUENCE,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,10/07/2014 01:31:14 PM,10/07/2014 01:42:18 PM,WEST,QUEEN,Q3
2548837,2013000321023,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,09/04/2013 11:02:32 AM,09/04/2013 11:59:44 AM,SOUTH,OCEAN,O2
4399833,2016000072201,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,02/29/2016 10:37:58 AM,02/29/2016 10:37:58 AM,NORTH,BOY,B1
2026647,2020000059253,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/16/2020 01:13:49 PM,01/01/1900 12:00:00 AM,NORTH,LINCOLN,L1
4821319,2012000290201,REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - DV,--DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY),08/29/2012 09:15:29 PM,08/29/2012 09:26:42 PM,WEST,DAVID,D2
160360,2016000128076,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/14/2016 04:22:29 AM,04/14/2016 04:22:29 AM,SOUTH,SAM,S3
3096567,2019000382035,FALSE COMPLAINT/UNFOUNDED,"TELEPHONE OTHER, NOT 911",2,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",10/13/2019 10:25:09 AM,10/13/2019 11:43:20 AM,NORTH,UNION,U1
1340423,2016000349898,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,09/26/2016 08:47:26 PM,09/26/2016 08:47:26 PM,NORTH,BOY,B3
916957,2017000407577,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,11/02/2017 06:06:34 PM,11/02/2017 06:46:25 PM,EAST,CHARLIE,C1
1261811,2014000180201,REPORT WRITTEN (NO ARREST),911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,06/07/2014 09:26:37 AM,06/07/2014 09:50:13 AM,NORTH,UNION,U2
271184,2021000290441,ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,11/01/2021 07:33:38 PM,11/01/2021 07:33:38 PM,WEST,KING,K1
472753,2014000375296,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/09/2014 12:37:04 AM,11/09/2014 12:37:04 AM,SOUTH,SAM,S3
1472208,2014000087133,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--MISCHIEF OR NUISANCE - GENERAL,03/21/2014 10:54:56 PM,01/01/1900 12:00:00 AM,NORTH,LINCOLN,L2
4081111,2013000432154,ASSISTANCE RENDERED,911,2,TRESPASS,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,12/01/2013 09:18:37 AM,12/01/2013 09:35:31 AM,NORTH,UNION,U1
2274043,2019000193379,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,05/29/2019 06:42:13 AM,05/29/2019 06:47:02 AM,SOUTHWEST,FRANK,F1
3747587,2016000141700,ASSISTANCE RENDERED,911,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),04/24/2016 12:06:12 PM,04/24/2016 12:38:30 PM,NORTH,LINCOLN,L1
4772243,2013000063568,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,02/24/2013 08:45:36 AM,02/24/2013 08:45:36 AM,WEST,KING,K3
2055478,2010000324004,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,ACC - WITH INJURIES (INCLUDES HIT AND RUN),--TRAFFIC - MV COLLISION INVESTIGATION,09/15/2010 06:05:51 PM,09/15/2010 06:10:30 PM,SOUTH,OCEAN,O2
778036,2014000273587,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/17/2014 08:08:08 PM,08/17/2014 10:25:47 PM,WEST,QUEEN,Q2
4282475,2011000334825,ASSISTANCE RENDERED,911,2,FOLLOW UP,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,10/12/2011 03:07:58 PM,10/12/2011 08:10:45 PM,WEST,KING,K1
1310254,2014000270815,ASSISTANCE RENDERED,911,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),08/15/2014 03:31:18 PM,08/15/2014 04:07:44 PM,NORTH,LINCOLN,L3
2884091,2015000373889,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,NUISANCE - MISCHIEF,--PROWLER - TRESPASS,10/25/2015 05:40:34 PM,10/25/2015 08:29:34 PM,NORTH,NORA,N3
3015078,2019000133672,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--HAZARDS - HAZARDS,04/15/2019 07:28:14 PM,04/15/2019 07:46:14 PM,NORTH,UNION,U2
1189762,2021000242364,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",09/15/2021 02:41:48 AM,09/15/2021 04:23:44 AM,WEST,DAVID,D3
3513724,2011000190631,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),--DISTURBANCE - OTHER,06/14/2011 01:42:36 PM,06/14/2011 01:45:32 PM,EAST,EDWARD,E2
3403077,2010000198364,ORAL WARNING GIVEN,"TELEPHONE OTHER, NOT 911",1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--DISTURBANCE - OTHER,06/12/2010 04:49:14 PM,06/12/2010 04:54:31 PM,WEST,DAVID,D3
4301181,2017000215773,REPORT WRITTEN (NO ARREST),911,1,"SUICIDE, SUICIDAL PERSON AND ATTEMPTS",--CRISIS COMPLAINT - GENERAL,06/15/2017 05:29:52 PM,06/15/2017 06:11:51 PM,NORTH,LINCOLN,L3
3143980,2017000258141,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,07/15/2017 09:12:27 PM,07/15/2017 09:12:27 PM,SOUTH,ROBERT,R3
1490458,2019000457877,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - BICYCLE,12/11/2019 10:32:34 AM,12/11/2019 12:18:34 PM,WEST,QUEEN,Q2
2114304,2018000032406,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,FIGHT - IP - PHYSICAL (NO WEAPONS),--DISTURBANCE - FIGHT,01/27/2018 12:10:41 AM,01/27/2018 12:13:08 AM,WEST,KING,K1
4130253,2015000434844,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,12/16/2015 12:01:07 AM,12/16/2015 12:14:28 AM,SOUTH,SAM,S3
1941676,2015000193500,ORAL WARNING GIVEN,ONVIEW,3,NUISANCE - MISCHIEF,--PROWLER - TRESPASS,06/10/2015 07:20:53 AM,06/10/2015 07:20:53 AM,WEST,MARY,M1
1764831,2022000234384,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),--PROPERTY DEST (DAMG),09/03/2022 03:24:30 AM,09/03/2022 04:25:36 AM,SOUTH,SAM,S1
3791773,2010000424375,RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",2,ACC - UNK INJURIES,--TRAFFIC - MV COLLISION INVESTIGATION,12/09/2010 04:29:43 PM,01/01/1900 12:00:00 AM,SOUTHWEST,FRANK,F1
4281363,2018000245328,ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,--INTOX & LIQ VIOLS - INTOXICATED PERSON,07/04/2018 11:51:29 PM,07/04/2018 11:51:50 PM,WEST,KING,K3
4041843,2017000274496,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,"--FRAUD - FRAUD, INCLUDING BUNCO",07/27/2017 09:34:51 AM,07/27/2017 06:05:04 PM,SOUTH,ROBERT,R2
665822,2012000138032,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,05/05/2012 01:26:43 PM,05/05/2012 01:32:23 PM,WEST,DAVID,D3
1186214,2014000151531,REPORT WRITTEN (NO ARREST),911,2,SEX IN PUBLIC PLACE/VIEW (INCL MASTURBATION),--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,05/15/2014 04:30:47 PM,05/15/2014 04:44:51 PM,WEST,KING,K1
2545067,2015000123327,ASSISTANCE RENDERED,ONVIEW,2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--PREMISE CHECKS - CRIME PREVENTION,04/15/2015 08:58:40 PM,04/15/2015 08:58:40 PM,WEST,MARY,M3
2236100,2012000348610,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - ALL OTHER,10/11/2012 04:40:34 PM,10/11/2012 04:57:57 PM,SOUTHWEST,WILLIAM,W1
4063479,2016000041953,ASSISTANCE RENDERED,ONVIEW,9,-ASSIGNED DUTY - COURT,-ASSIGNED DUTY - COURT,02/04/2016 01:31:37 PM,02/04/2016 01:31:37 PM,WEST,KING,K2
188557,2016000270664,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - OTHER,07/28/2016 03:03:40 PM,01/01/1900 12:00:00 AM,SOUTH,ROBERT,R3
3499335,2013000071980,RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),03/02/2013 08:31:03 PM,01/01/1900 12:00:00 AM,EAST,EDWARD,E3
4775498,2021000007568,PHYSICAL ARREST MADE,911,1,BURG - IP/JO - COMM BURG (INCLUDES SCHOOLS),--BURGLARY - RESIDENTIAL OCCUPIED,01/10/2021 04:53:00 AM,01/10/2021 04:54:49 AM,NORTH,LINCOLN,L2
911194,2017000085155,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,03/10/2017 03:17:54 AM,03/10/2017 04:15:44 AM,NORTH,BOY,B2
2446308,2012000241652,ASSISTANCE RENDERED,ONVIEW,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--HAZARDS - HAZARDS,07/25/2012 08:15:14 PM,07/25/2012 08:15:14 PM,SOUTH,OCEAN,O2
3000231,2015000181468,ASSISTANCE RENDERED,911,2,TRESPASS,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),06/01/2015 10:25:57 AM,06/01/2015 01:12:58 PM,EAST,CHARLIE,C1
4191197,2016000242921,ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--DISTURBANCE - OTHER,07/07/2016 11:23:20 AM,07/07/2016 11:28:36 AM,EAST,CHARLIE,C1
4539613,2014000247562,ASSISTANCE RENDERED,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",07/28/2014 03:39:24 PM,07/28/2014 03:44:13 PM,NORTH,LINCOLN,L1
1158691,2020000122733,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",5,TRU - HARASSMENT,"--ASSAULTS - HARASSMENT, THREATS",04/12/2020 01:56:20 PM,04/12/2020 03:55:51 PM,NORTH,NORA,N1
3231968,2010000075961,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,03/07/2010 10:00:08 AM,03/07/2010 10:11:23 AM,NORTH,NORA,N1
2398225,2010000154306,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/11/2010 03:58:34 PM,05/11/2010 03:58:34 PM,WEST,DAVID,D3
3796430,2009000310952,ASSISTANCE RENDERED,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),--DISTURBANCE - NOISE,09/02/2009 09:53:46 PM,09/02/2009 10:04:41 PM,NORTH,LINCOLN,L3
3199755,2011000098021,ASSISTANCE RENDERED,911,2,TRAFFIC - ROAD RAGE,--DISTURBANCE - OTHER,03/26/2011 06:30:45 PM,03/26/2011 06:35:29 PM,NORTH,UNION,U2
2034880,2015000435690,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,12/16/2015 05:22:40 PM,12/16/2015 05:22:40 PM,WEST,MARY,M1
4543422,2019000387022,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/17/2019 07:09:12 AM,10/17/2019 07:09:12 AM,EAST,CHARLIE,C1
4057575,2013000145371,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",05/01/2013 09:48:27 AM,05/01/2013 09:56:14 AM,NORTH,LINCOLN,L3
3721858,2015000416138,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),11/30/2015 09:59:30 AM,11/30/2015 09:59:30 AM,NORTH,LINCOLN,L3
2933182,2012000123592,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/23/2012 06:22:14 AM,04/23/2012 06:22:14 AM,NORTH,LINCOLN,L3
499336,2015000235893,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--NARCOTICS - MARIJUANA PUBLIC USE(NOT DISPENSARY),07/10/2015 12:08:06 PM,07/10/2015 12:08:06 PM,WEST,MARY,M1
2955884,2022000215340,REPORT WRITTEN (NO ARREST),911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,08/15/2022 12:09:05 PM,08/15/2022 12:30:01 PM,EAST,GEORGE,G2
4578714,2014000369123,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),11/04/2014 07:41:39 AM,01/01/1900 12:00:00 AM,EAST,CHARLIE,C3
3998244,2009000304033,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,08/28/2009 10:12:00 AM,08/28/2009 10:43:01 AM,SOUTH,SAM,S2
2561346,2019000039801,REPORT WRITTEN (NO ARREST),ONVIEW,2,TRESPASS,--PROWLER - TRESPASS,01/30/2019 06:46:43 PM,01/30/2019 06:46:43 PM,SOUTH,ROBERT,R2
1106467,2015000351475,ASSISTANCE RENDERED,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),--DISTURBANCE - OTHER,10/08/2015 12:14:40 AM,10/08/2015 12:21:30 AM,SOUTHWEST,WILLIAM,W3
4337118,2015000022289,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,01/20/2015 07:26:07 PM,01/20/2015 07:26:07 PM,WEST,MARY,M3
2047490,2019000463865,STREET CHECK WRITTEN,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - FIGHT,12/15/2019 06:43:03 PM,12/15/2019 06:43:03 PM,WEST,KING,K1
2065536,2016000087761,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),--DISTURBANCE - OTHER,03/12/2016 09:42:29 PM,03/12/2016 10:19:42 PM,NORTH,JOHN,J1
3724070,2015000245709,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,07/18/2015 12:28:34 AM,07/18/2015 12:28:34 AM,EAST,EDWARD,E3
484577,2009000433553,RADIO BROADCAST AND CLEAR,911,1,PROWLER - IP/JO,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,12/17/2009 04:58:29 PM,12/17/2009 05:13:18 PM,NORTH,UNION,U3
2301430,2016000450448,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,12/15/2016 09:00:38 PM,12/15/2016 09:00:38 PM,EAST,GEORGE,G1
9441,2013000001738,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--DIRECTED PATROL ACTIVITY,01/02/2013 01:23:13 PM,01/02/2013 01:23:13 PM,SOUTH,ROBERT,R2
2004031,2022000007471,-,ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),01/09/2022 08:05:50 PM,01/09/2022 08:05:50 PM,WEST,DAVID,D2
4873311,2015000106205,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/01/2015 03:23:04 PM,04/01/2015 03:23:04 PM,WEST,MARY,M1
3675319,2018000010990,NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,NUISANCE - MISCHIEF,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,01/09/2018 10:05:20 PM,01/10/2018 04:14:37 AM,NORTH,JOHN,J1
2842025,2022000140184,-,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY","PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",06/03/2022 12:19:31 AM,06/03/2022 12:19:31 AM,WEST,MARY,M3
3935765,2011000199581,FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,--AUTOMOBILES - RECOVERY (THEFT),06/21/2011 10:39:47 PM,06/21/2011 11:11:36 PM,NORTH,UNION,U2
752905,2020000309422,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--HAZARDS - HAZARDS,11/01/2020 10:07:02 PM,11/01/2020 11:04:11 PM,WEST,DAVID,D1
3366702,2015000209168,PROBLEM SOLVING PROJECT,"TELEPHONE OTHER, NOT 911",2,TRAFFIC - BLOCKING ROADWAY,--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),06/21/2015 10:27:21 AM,06/21/2015 10:58:24 AM,NORTH,NORA,N3
1727933,2022000022538,OTHER REPORT MADE,911,2,TRESPASS,--PROWLER - TRESPASS,01/27/2022 02:01:37 PM,01/27/2022 03:00:29 PM,SOUTHWEST,WILLIAM,W2
150111,2019000068621,REPORT WRITTEN (NO ARREST),ONVIEW,2,TRESPASS,--PROWLER - TRESPASS,02/24/2019 07:23:32 AM,02/24/2019 07:23:32 AM,WEST,MARY,M3
4743990,2019000405051,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,10/31/2019 12:23:08 AM,10/31/2019 12:23:08 AM,NORTH,NORA,N3
4033076,2015000067572,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--MISCHIEF OR NUISANCE - GENERAL,02/28/2015 03:00:59 PM,02/28/2015 03:03:40 PM,WEST,DAVID,D2
265035,2010000055760,OTHER REPORT MADE,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--PROWLER - TRESPASS,02/18/2010 12:48:59 PM,02/18/2010 12:48:59 PM,EAST,CHARLIE,C3
2024503,2012000065436,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,03/03/2012 01:54:18 PM,03/03/2012 01:54:18 PM,WEST,KING,K3
3390940,2012000431971,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,12/19/2012 03:00:17 AM,12/19/2012 03:00:17 AM,SOUTH,ROBERT,R3
142992,2021000274153,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--PROWLER - TRESPASS,10/16/2021 02:41:32 PM,10/16/2021 05:01:05 PM,WEST,QUEEN,Q3
2857592,2015000311263,ASSISTANCE RENDERED,911,2,TRESPASS,--DISTURBANCE - OTHER,09/05/2015 08:43:27 AM,09/05/2015 08:58:28 AM,WEST,DAVID,D3
1429523,2013000296273,ASSISTANCE RENDERED,ONVIEW,7,PREDICTIVE POLICING,--PREDICTIVE POLICING PATROL,08/17/2013 01:51:00 AM,08/17/2013 01:51:00 AM,SOUTHWEST,WILLIAM,W2
2895664,2019000095983,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,03/17/2019 08:34:41 PM,03/17/2019 08:34:41 PM,WEST,MARY,M1
445373,2014000052407,REPORT WRITTEN (NO ARREST),ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",--BURGLARY - NON RESIDENTIAL/COMMERCIAL,02/17/2014 10:16:17 PM,02/17/2014 10:20:52 PM,SOUTH,OCEAN,O2
1208986,2016000448109,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,12/14/2016 07:16:51 AM,12/14/2016 07:52:48 AM,SOUTH,ROBERT,R2
5010582,2020000338982,ASSISTANCE RENDERED,911,1,OVERDOSE - DRUG RELATED CASUALTY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),12/08/2020 01:08:54 PM,12/08/2020 01:12:57 PM,WEST,DAVID,D2
3999449,2019000325643,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--PREMISE CHECKS - CRIME PREVENTION,08/31/2019 05:52:36 PM,08/31/2019 05:52:36 PM,SOUTH,SAM,S1
4278100,2010000290768,ASSISTANCE RENDERED,ONVIEW,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - ROUTINE SERVICE,08/20/2010 09:16:25 AM,08/20/2010 09:16:25 AM,NORTH,UNION,U2
4460657,2019000304095,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,08/16/2019 08:45:37 AM,08/16/2019 08:45:37 AM,NORTH,UNION,U1
3486147,2020000188181,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,06/15/2020 05:52:25 AM,06/15/2020 05:52:25 AM,SOUTH,OCEAN,O1
2387391,2022000097568,REPORT WRITTEN (NO ARREST),ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - HOMELESS ENCAMPMENT,04/19/2022 08:40:33 AM,04/19/2022 08:40:33 AM,WEST,KING,K3
3495008,2019000165254,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),05/08/2019 06:15:55 PM,05/08/2019 06:46:26 PM,NORTH,LINCOLN,L1
2540627,2021000234869,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,09/07/2021 08:28:07 PM,09/07/2021 08:28:07 PM,EAST,CHARLIE,C1
4559075,2012000013714,ORAL WARNING GIVEN,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--MISCHIEF OR NUISANCE - GENERAL,01/14/2012 01:45:31 AM,01/14/2012 01:45:31 AM,WEST,KING,K2
1993498,2020000071255,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),02/25/2020 10:56:16 PM,02/25/2020 10:56:16 PM,WEST,MARY,M3
